,latitude,longitude,altitude
0,37.91542831181126,-122.33431013720502,-28.71715448331088
1,37.91542858372237,-122.3343106155834,-28.71855354309082
2,37.915428632851516,-122.33431083418184,-28.721000388264656
3,37.915428759798566,-122.33431099025142,-28.726360441185534
4,37.91542887532102,-122.33431129246809,-28.726420734077692
5,37.915428992833064,-122.33431159152279,-28.72653486020863
6,37.91542905531922,-122.33431178377607,-28.732933888211846
7,37.91542916064775,-122.33431206760295,-28.7333144871518
8,37.91542923104823,-122.33431221719299,-28.736837294884026
9,37.91542933331185,-122.33431247835205,-28.73729824926704
10,37.91542946274989,-122.3343126302961,-28.73563180398196
11,37.915429570762974,-122.3343128604907,-28.736737295985222
12,37.91542961463286,-122.33431299828014,-28.738475520163774
13,37.91542969999896,-122.33431319398616,-28.739070641808212
14,37.91542976892085,-122.33431329268925,-28.740535996854305
15,37.915429839399124,-122.3343134455997,-28.741107252426445
16,37.91542986703936,-122.33431347147823,-28.7442679554224
17,37.9154299123976,-122.33431358116317,-28.74449651967734
18,37.915429971437035,-122.33431359514103,-28.748172123916447
19,37.91543001341891,-122.33431366237777,-28.7486640131101
20,37.91543005255275,-122.33431363713773,-28.753091880120337
21,37.915430084312874,-122.33431367036854,-28.753463484346867
22,37.915430104544676,-122.33431362362231,-28.758504413999617
23,37.91543012688999,-122.33431362991739,-28.758623811416328
24,37.91543012973036,-122.33431355436994,-28.763631904497743
25,37.91543014428986,-122.33431353949017,-28.76398114860058
26,37.91543017428831,-122.3343134594468,-28.769450932741165
27,37.915430186407264,-122.33431342822371,-28.76982674282044
28,37.91543020991244,-122.3343133437771,-28.773036683909595
29,37.915430220973,-122.33431329594687,-28.773275333456695
30,37.91543021472705,-122.33431315906283,-28.787332320585847
31,37.91543022617803,-122.33431310078073,-28.7875594785437
32,37.91543020182563,-122.33431300762585,-28.802806643769145
33,37.91543021127833,-122.3343129458054,-28.803074182011187
34,37.91543020533175,-122.33431284755348,-28.81921948865056
35,37.9154302193929,-122.33431278139084,-28.81937465071678
36,37.91543003075062,-122.3343126739442,-28.837023311294615
37,37.91543002513932,-122.3343126137711,-28.83709025848657
38,37.915429891406454,-122.33431248275988,-28.85732962191105
39,37.91542988522091,-122.3343124217781,-28.85799462441355
40,37.91542986306951,-122.33431232197539,-28.870104981586337
41,37.91542985957104,-122.33431226052402,-28.870787356980145
42,37.91542984711122,-122.33431219612069,-28.869419709779322
43,37.915429784916135,-122.33431212493677,-28.88169949967414
44,37.91542972574378,-122.3343120523917,-28.89452560339123
45,37.91542971268041,-122.33431197920136,-28.894814026542008
46,37.91542970007163,-122.33431191412332,-28.907917353324592
47,37.91542968865544,-122.33431183663392,-28.9081799807027
48,37.91542964443506,-122.33431177918693,-28.92070889379829
49,37.91542962768864,-122.33431170106013,-28.920842695981264
50,37.915429583848585,-122.33431163441396,-28.932086144573987
51,37.91542956624323,-122.33431155537706,-28.932300572283566
52,37.91542955103878,-122.33431147268668,-28.932644736021757
53,37.91542951330837,-122.33431139934935,-28.94381359871477
54,37.915429480158885,-122.33431134081236,-28.955542912706733
55,37.915429459414966,-122.33431125306585,-28.955761501565576
56,37.91542943097542,-122.33431122307103,-28.968143984675407
57,37.91542940887715,-122.33431113315824,-28.968355260789394
58,37.91542938851871,-122.33431104208222,-28.9686563545838
59,37.915429367336316,-122.33431101007864,-28.980880320072174
60,37.915429343670475,-122.33431091816583,-28.981221756897867
61,37.9154293230693,-122.33431089326743,-28.991493347100914
62,37.915429299413574,-122.33431079749207,-28.991903882473707
63,37.91542928043069,-122.33431077517686,-29.0011785896495
64,37.91542925533333,-122.33431067693472,-29.001558288931847
65,37.91542923005006,-122.33431057349199,-29.002002337016165
66,37.91542919067607,-122.33431047639137,-29.00204998627305
67,37.91542916301672,-122.33431036830729,-29.00246669910848
68,37.915429122062406,-122.33431026666648,-29.002543222159147
69,37.91542909214767,-122.33431015251594,-29.002982139587402
70,37.915429048545185,-122.33431004392841,-29.003140101209283
71,37.91542901685077,-122.33430992258,-29.003620946779847
72,37.915428972125184,-122.33430980695482,-29.00387263391167
73,37.91542893816457,-122.33430968010822,-29.004347163252532
74,37.91542889298181,-122.33430956046907,-29.004598301835358
75,37.91542885716206,-122.3343094298759,-29.00504396110773
76,37.91542880736018,-122.33430930726874,-29.005238105542958
77,37.915428769000805,-122.33430916976425,-29.0057095522061
78,37.91542871897404,-122.33430903635437,-29.00598864071071
79,37.91542867878713,-122.33430888965196,-29.006503948941827
80,37.915428626457256,-122.33430874732612,-29.006807090714574
81,37.915428582514075,-122.33430859432538,-29.007283524610102
82,37.91542852132598,-122.33430845200138,-29.007554593496025
83,37.91542847639035,-122.33430829325464,-29.008105740882456
84,37.91542842309017,-122.33430814242848,-29.008488637395203
85,37.91542837546966,-122.33430798058815,-29.009017280302942
86,37.91542831580019,-122.33430782675723,-29.0092698847875
87,37.91542826404902,-122.33430766073573,-29.009727766737342
88,37.91542819779695,-122.33430750047104,-29.009960198774934
89,37.915428147605866,-122.33430732416848,-29.010590771213174
90,37.915428098471544,-122.33430714392621,-29.011076376773417
91,37.915428043485676,-122.33430695844939,-29.01163105200976
92,37.91542797236773,-122.33430678175436,-29.011920519173145
93,37.91542791337381,-122.33430659009129,-29.01245222426951
94,37.91542784149604,-122.33430640835478,-29.012649405747652
95,37.91542778284397,-122.33430621221625,-29.01324063539505
96,37.91542772185087,-122.33430602148567,-29.013628508895636
97,37.915427659759644,-122.33430582162974,-29.014143084175885
98,37.915427587885326,-122.33430562688595,-29.014434727840126
99,37.915427524507386,-122.33430542005846,-29.014958975836635
100,37.915427452371006,-122.3343052153719,-29.01528346259147
101,37.91542738846523,-122.33430499811088,-29.015880395658314
102,37.91542731974141,-122.33430478020267,-29.016422000713646
103,37.915427250064404,-122.33430455309345,-29.016976360231638
104,37.91542717209595,-122.33430433161477,-29.01742355991155
105,37.91542709878246,-122.33430410000857,-29.01796634402126
106,37.91542702007196,-122.3343038763681,-29.01840916648507
107,37.91542694224779,-122.33430363934555,-29.01893212646246
108,37.91542686901985,-122.33430339969874,-29.01948281750083
109,37.91542679552493,-122.33430315057151,-29.020295928232372
110,37.915426720113594,-122.33430290118942,-29.02093129232526
111,37.91542664365525,-122.33430264955336,-29.021666451357305
112,37.91542656609312,-122.33430240419416,-29.0221739243716
113,37.91542648434586,-122.33430214948285,-29.02272925991565
114,37.915426384574815,-122.3343019012744,-29.022887509316206
115,37.91542629904453,-122.33430163960723,-29.023405496031046
116,37.915426220229456,-122.33430136877385,-29.02418325189501
117,37.915426136660514,-122.3343010932054,-29.024886979721487
118,37.915426053304834,-122.33430081956958,-29.02547323703766
119,37.91542596353392,-122.33430053834863,-29.026049229316413
120,37.91542586704454,-122.33430026423352,-29.026527521200478
121,37.91542577510878,-122.3342999777364,-29.02715594880283
122,37.91542568170596,-122.33429969749052,-29.027713405899704
123,37.91542558921281,-122.33429940466249,-29.028397634625435
124,37.91542549870277,-122.33429911158711,-29.02915834169835
125,37.91542540263625,-122.3342988107209,-29.029832466505468
126,37.91542530423529,-122.3342985062708,-29.030475604347885
127,37.91542520249418,-122.33429820300414,-29.03109758719802
128,37.91542510363427,-122.33429789077091,-29.031839014962316
129,37.91542500014464,-122.33429758446414,-29.032484822906554
130,37.91542489763784,-122.33429726731663,-29.033182327635586
131,37.91542479750287,-122.33429695075242,-29.033947493880987
132,37.91542469282506,-122.3342966223166,-29.034694395959377
133,37.915424583083286,-122.3342962958904,-29.035349316895008
134,37.91542447468971,-122.33429595681966,-29.03609590511769
135,37.91542436511976,-122.33429561669371,-29.03685066383332
136,37.91542424990412,-122.33429526603753,-29.037444102577865
137,37.91542412638376,-122.33429492025925,-29.0380220990628
138,37.91542399760716,-122.33429456094095,-29.03837961424142
139,37.915423859957855,-122.33429420998087,-29.03847815375775
140,37.91542371113528,-122.33429384936723,-29.038558788597584
141,37.915423567777836,-122.33429349700015,-29.03873644489795
142,37.915423412647584,-122.33429314167252,-29.038914447650313
143,37.91542419461442,-122.33429532013233,-29.04508612304926
144,37.915424062901366,-122.33429500933359,-29.04633205384016
145,37.91542464436153,-122.33429646130377,-29.05176709033549
146,37.91542457127335,-122.33429621913015,-29.052476776763797
147,37.915425188541384,-122.33429766870724,-29.07101807370782
148,37.91542509171325,-122.33429745892411,-29.070981238037348
149,37.915425639485754,-122.33429911744254,-29.08072374854237
150,37.91542551645622,-122.3342989428747,-29.0810831701383
151,37.91542609786071,-122.3343010319101,-29.090669913217425
152,37.91542595852015,-122.33430090821828,-29.090824839659035
153,37.915426028434894,-122.33430089016335,-29.114505789242685
154,37.91542586618712,-122.33430075338659,-29.115286722779274
155,37.91542584914801,-122.33430055218878,-29.13020574208349
156,37.915425670028625,-122.33430040319494,-29.13059603702277
157,37.915425311394735,-122.33429912677994,-29.168959935195744
158,37.91542511041388,-122.33429894856509,-29.169930689036846
159,37.91542501602011,-122.33429872812809,-29.171424102038145
160,37.915424816542874,-122.33429852259624,-29.172412011772394
161,37.91542476987843,-122.3342984250295,-29.193378259427845
162,37.915424568900974,-122.33429822447968,-29.193651791661978
163,37.91542485380663,-122.33429918325032,-29.175737501122057
164,37.915424675747005,-122.33429899233555,-29.17614110466093
